,target
0,1
1,1
2,0
3,2
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,1
19,1
20,2
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,2
39,1
40,2
41,1
42,1
43,1
44,1
45,1
46,2
47,1
48,1
49,1
50,1
51,1
52,1
53,2
54,1
55,1
56,1
57,1
58,0
59,1
60,2
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,2
72,2
73,1
74,1
75,2
76,1
77,1
78,1
79,2
80,2
81,1
82,1
83,2
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,2
94,1
95,2
96,1
97,1
98,1
99,1
100,2
101,2
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,2
118,0
119,2
120,1
121,1
122,2
123,0
124,1
125,1
126,1
127,1
128,2
129,2
130,1
131,1
132,1
133,1
134,2
135,2
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,1
147,1
148,2
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,2
178,1
179,2
180,1
181,1
182,1
183,1
184,0
185,1
186,2
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,2
197,1
198,1
199,1
200,1
201,1
202,1
203,2
204,1
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,1
213,2
214,1
215,2
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,2
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,2
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,2
268,1
269,0
270,1
271,2
272,1
273,2
274,1
275,2
276,1
277,2
278,1
279,2
280,1
281,1
282,1
283,1
284,1
285,2
286,1
287,0
288,2
289,1
290,2
291,1
292,1
293,1
294,1
295,1
296,1
297,2
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,2
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,1
321,2
322,2
323,2
324,2
325,2
326,0
327,0
328,2
329,2
330,2
331,2
332,2
333,1
334,2
335,2
336,1
337,1
338,2
339,1
340,2
341,2
342,0
343,1
344,1
345,1
346,0
347,2
348,0
349,0
350,1
351,2
352,2
353,2
354,1
355,1
356,1
357,2
358,1
359,1
360,2
361,1
362,2
363,0
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,1
386,2
387,2
388,2
389,2
390,2
391,1
392,2
393,1
394,2
395,1
396,1
397,1
398,2
399,2
400,2
401,2
402,2
403,1
404,1
405,0
406,2
407,0
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,2
416,2
417,1
418,2
419,1
420,1
421,1
422,1
423,2
424,2
425,2
426,2
427,2
428,2
429,1
430,2
431,1
432,1
433,1
434,1
435,0
436,2
437,1
438,1
439,1
440,1
441,2
442,1
443,2
444,2
445,2
446,2
447,1
448,2
449,2
450,1
451,2
452,2
453,2
454,2
455,1
456,0
457,1
458,0
459,2
460,2
461,2
462,2
463,2
464,0
465,2
466,2
467,1
468,1
469,0
470,1
471,1
472,2
473,2
474,2
475,2
476,1
477,1
478,1
479,0
480,2
481,1
482,1
483,2
484,1
485,1
486,0
487,1
488,1
489,0
490,2
491,1
492,2
493,2
494,2
495,2
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,2
504,2
505,1
506,2
507,1
508,2
509,1
510,2
511,2
512,2
513,2
514,2
515,1
516,1
517,2
518,1
519,1
520,1
521,1
522,1
523,1
524,2
525,1
526,2
527,2
528,2
529,2
530,1
531,1
532,1
533,1
534,2
535,1
536,2
537,0
538,1
539,2
540,1
541,2
542,1
543,1
544,2
545,2
546,2
547,2
548,1
549,1
550,2
551,0
552,1
553,1
554,1
555,1
556,1
557,2
558,1
559,1
560,1
561,1
562,1
563,2
564,1
565,0
566,1
567,1
568,1
569,2
570,1
571,2
572,2
573,1
574,2
575,2
576,1
577,1
578,2
579,1
580,2
581,2
582,0
583,2
584,2
585,1
586,1
587,1
588,1
589,1
590,1
591,2
592,2
593,1
594,2
595,1
596,1
597,2
598,1
599,1
600,2
601,2
602,2
603,2
604,2
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,2
614,2
615,1
616,1
617,1
618,1
619,2
620,1
621,0
622,0
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,2
632,1
633,2
634,2
635,0
636,2
637,2
638,2
639,2
640,2
641,2
642,1
643,2
644,1
645,1
646,1
647,2
648,1
649,1
650,1
651,2
652,1
653,1
654,2
655,1
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,2
698,1
699,2
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,2
718,2
719,2
720,2
721,0
722,1
723,1
724,1
725,1
726,2
727,1
728,1
729,1
730,1
731,2
732,2
733,1
734,1
735,1
736,1
737,2
738,2
739,1
740,2
741,0
742,2
743,1
744,0
745,1
746,0
747,1
748,2
749,1
750,1
751,2
752,2
753,2
754,2
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,2
765,2
766,2
767,1
768,2
769,2
770,1
771,2
772,2
773,1
774,2
775,2
776,1
777,2
778,1
779,2
780,2
781,2
782,1
783,1
784,1
785,2
786,2
787,1
788,2
789,1
790,2
791,2
792,2
793,2
794,1
795,2
796,2
797,2
798,1
799,2
800,1
801,2
802,1
803,1
804,2
805,1
806,2
807,0
808,2
809,0
810,1
811,2
812,0
