,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandep,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
0,112.357708,-12.69596,-5.964,0.085,-0.085,-0.076,0.072,-0.072,2459229.630046,0.001657,-0.001657,2.1713484,0.0002637,-0.0002637,2.0172196,656.8860989,5.8181633,1.9105465,-1.9105465,10249.0,264.7,-264.7,4.19,0.07,-0.07,2.16986,0.0725729,-0.0725729
1,122.580465,-5.513852,-4.956,0.102,-0.102,-15.555,0.072,-0.072,2459987.948873,0.001916,-0.001916,1.9316462,5.3e-06,-5.3e-06,3.166,1286.0,11.2154,2.6242,-2.6242,7070.0,126.4,-126.4,4.03,0.09,-0.09,2.01,0.09,-0.09
2,104.726966,-10.580455,-1.462,0.206,-0.206,-2.249,0.206,-0.206,2459224.687802,0.000625,-0.000625,1.8675574,3e-06,-3e-06,1.408,1500.0,23.7529,,,8924.0,124.0,-124.0,,,,5.73,,
3,110.559945,-25.207017,-0.939,0.041,-0.041,1.64,0.055,-0.055,2458493.3957,0.00535,-0.00535,2.74323,0.00108,-0.00108,3.167,383.41,,,,5388.5,567.0,-567.0,4.15,1.64,-1.64,,,
4,122.178195,-48.802811,-4.496,0.069,-0.069,9.347,0.062,-0.062,2459987.047262,0.003748,-0.003748,3.5730141,1.28e-05,-1.28e-05,3.37,755.0,11.3113,3.24714,-3.24714,9219.0,171.1,-171.1,4.14,0.07,-0.07,2.15,0.06,-0.06
5,120.704811,-11.101521,-26.932,1.935,-1.935,-2.901,2.06,-2.06,2459985.156855,0.000581,-0.000581,4.5505945,3.1e-06,-3.1e-06,2.654,3731.0,7.10841,0.474611,-0.474611,5613.0,179.9,-179.9,,,,1.09,0.07,-0.07
6,124.359239,-27.273521,-29.1,2.6,-2.6,-6.8,2.2,-2.2,2459229.984579,0.002159,-0.002159,2.5047918,0.0004076,-0.0004076,4.3797563,2270.5402194,8.6950898,8.438766,-8.438766,6616.0,200.0,-200.0,,,,1.53429,1.4887,-1.4887
7,112.752393,-4.463359,0.357,0.058,-0.058,3.399,0.045,-0.045,2459247.930695,0.0013,-0.0013,6.9989206,1.37e-05,-1.37e-05,3.953,2840.0,14.7752,0.764705,-0.764705,6596.0,139.2,-139.2,3.71,0.09,-0.09,2.7,0.13,-0.13
8,109.382839,13.395219,-17.9,1.1,-1.1,1.3,1.0,-1.0,2460258.236122,0.002805,-0.002805,2.0483755,5.5e-06,-5.5e-06,2.767,483.0,3.19621,,,6858.5,584.6,-584.6,4.2,1.9,-1.9,1.57,,
9,111.667845,-24.462111,-3.297,0.319,-0.319,4.849,0.358,-0.358,2459229.230924,0.000389,-0.000389,1.9600277,2.5e-06,-2.5e-06,2.0065257,1707.6272693,,,,8868.7,809.8,-809.8,,,,,,
10,318.737012,-55.871863,12.641,0.044,-0.044,-16.011,0.041,-0.041,2458326.009117,0.000132,-0.000132,1.4303699,8e-07,-8e-07,1.6165994,18960.7122944,13.1874503,0.6576402,-0.6576402,5600.0,,,4.48851,,,0.890774,0.0438467,-0.0438467
11,112.293981,-21.832912,-5.746,0.176,-0.176,4.502,0.261,-0.261,2459228.878101,0.000791,-0.000791,0.6808702,3.9e-05,-3.9e-05,2.4634563,1507.8006889,5.9115908,1.5360428,-1.5360428,9438.0,782.0,-782.0,,,,1.0,,
12,113.984761,-32.841999,145.102,0.046,-0.046,-134.901,0.052,-0.052,2459984.627768,0.002619,-0.002619,2.4704981,7.3e-06,-7.3e-06,2.191,250.0,1.44656,0.107503,-0.107503,5413.7,132.8,-132.8,4.46,0.09,-0.09,0.94,0.05,-0.05
13,117.095285,6.785064,-2.99,0.202,-0.202,-0.029,0.106,-0.106,2459252.509595,0.000369,-0.000369,0.884182,7e-07,-7e-07,1.621,1890.0,24.8132,5.41599,-5.41599,8928.0,128.7,-128.7,3.92,0.08,-0.08,2.72,0.13,-0.13
14,107.286063,-31.933523,-3.973,0.063,-0.063,7.061,0.071,-0.071,2459232.248322,0.000512,-0.000512,5.4255548,0.0002073,-0.0002073,3.9637474,14939.6342222,,,,8868.7,809.8,-809.8,,,,,,
15,103.561602,-34.22282,-13.063,0.078,-0.078,9.737,0.141,-0.141,2459985.657041,0.000309,-0.000309,1.4095184,2.3e-06,-2.3e-06,0.9484999,2841.5103258,,,,9307.0,938.9,-938.9,,,,,,
16,122.895964,-27.971896,1.566,0.052,-0.052,-17.974,0.053,-0.053,2459963.610065,0.004221,-0.004221,1.3730466,6.7e-06,-6.7e-06,2.5708515,1301.5065338,42.1479417,46.48904,-46.48904,4897.0,122.0,-122.0,,,,6.7996101,,
17,116.110771,-36.098285,-9.231,0.048,-0.048,11.614,0.052,-0.052,2459238.831138,0.006715,-0.006715,12.6889415,0.0095088,-0.0095088,7.9201001,3232.8527885,14.0608342,15.241591,-15.241591,7601.0,135.8,-135.8,4.31,0.08,-0.08,1.53641,0.0479799,-0.0479799
18,124.726411,-37.78325,-11.278,0.045,-0.045,9.593,0.045,-0.045,2458518.96536,0.00137,-0.00137,1.10422,0.00013,-0.00013,2.37,14177.7,21.0448,5.22012,-5.22012,6995.2,157.0,-157.0,4.07,0.55,-0.55,1.61,0.07,-0.07
19,111.716019,-50.266567,-8.018,0.049,-0.049,11.56,0.047,-0.047,2458492.78078,0.00073,-0.00073,4.95912,0.00016,-0.00016,2.509,7440.0,22.9123,3.28055,-3.28055,5889.0,124.3,-124.3,3.86,0.07,-0.07,2.0,0.09,-0.09
20,120.147994,-54.878552,-11.732,0.047,-0.047,2.586,0.061,-0.061,2459232.446864,0.00012,-0.00012,5.2341008,1.2e-06,-1.2e-06,3.7078139,20796.9416293,24.2931408,0.7497171,-0.7497171,7645.0,134.4,-134.4,4.3,0.08,-0.08,1.56203,0.0481257,-0.0481257
