pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
41.688644,2.35545351,2457068.52877,,5703.0,0.956122,4.38,53.6511231,20.5990205
41.6855,2.23,2457151.9021,,5766.0,0.928,4.5,53.6511231,20.5990205
41.6855,2.57807,,0.049,5766.0,1.08,4.5,53.6511231,20.5990205
2.30183,1.12,2457583.1688,2.268,4616.52,0.762602,4.53679,183.8462454,-6.2683289
2.302368,1.31258765,2457583.16206,,4720.0,0.710995,4.5,183.8462454,-6.2683289
1.1947488,4.19,2456810.382,0.448,3919.0,0.57,,175.9385954,-5.8733592
6.178369,9.91257877,2457585.55131,,5015.0,0.789478,4.67,181.3718091,-5.8482738
6.17887,8.84,2457585.5473,1.303,4719.28,0.849432,4.45833,181.3718091,-5.8482738
1.17589,0.86,2456810.7406,0.0686,,0.309,,173.902664,-5.364612
10.6966,1.45,2456817.3147,0.0557,,0.588,,173.0432884,-5.2471672
1.5374115,45.0,2456810.49714,1.4564,,1.599,,174.9978388,-5.0404536
2.71189,4.34,2457583.1362,0.02,6402.0,3.16745,3.54386,181.5936878,-4.9467043
18.10549,2.09985108,2457598.1933,,6213.0,1.224685,4.32,181.1211419,-4.8991358
6.7987,1.047,2456813.1485,,3648.0,0.282,4.999,170.1408561,-4.8070039
79.9999,10.2,2456877.8046,,4542.0,0.508,4.747,169.1498727,-4.6564416
,30.0,2456877.8038,3.06,,0.707,,169.1498727,-4.6564416
17.77297,26.44,2457586.4986,3.662,5847.0,1.25428,4.26659,184.1697015,-4.5603949
0.99656225,32.8,2456811.09,35.5,3727.0,0.5,,172.7104166,-4.5075924
14.912381,3.55,2456825.111,0.252,4224.0,0.65,,177.0948891,-4.1644059
14.9139,3.24,2456825.1108,0.24,,0.647,,177.0948891,-4.1644059
0.57303573,3.35,2456810.511,0.51,3570.0,0.43,,174.1207146,-3.4828286
28.1656,1.87,2456852.6572,,,,,179.7058532,-3.3894613
28.1696,2.2,2456824.4836,0.316,,0.374,,179.7058532,-3.3894613
7.90417,2.06,2456813.6895,0.268,,0.374,,179.7058532,-3.3894613
7.9069606,3.02,2456813.675,0.28,3772.0,0.52,,179.7058532,-3.3894613
1.0829614,1.56,2456810.366,0.0655,3875.0,0.56,,173.2627978,-3.3887192
0.905655,1.57,2456810.9372,0.0678,,0.576,,173.0528796,-3.370321
0.90552205,1.52,2456810.944,0.0791,3710.0,0.5,,173.0528796,-3.370321
2.7541129,4.87,2456810.901,0.671,3834.0,0.55,,177.9464521,-3.2460183
2.75421,8.4,2456810.8999,0.746,,0.89,,177.9464521,-3.2460183
2.75391,3.78,2456810.9031,,3918.0,0.436,4.846,177.9464521,-3.2460183
50.285869,3.47,2456828.355,0.184,4859.0,0.74,,178.1611264,-3.0949095
50.27762,209.52,2456828.3735,,5141.0,10.96,,178.1611264,-3.0949095
10.50439,1.75,2456818.9185,0.0402,,0.878,,178.6905819,-3.0828192
1.684208,5.51,2456810.89293,1.476,,0.431,,170.382257,-3.0610326
0.2122013,0.519,2456810.4898,0.0725,,0.188,,169.5971097,-2.9913978
0.21219899,1.05,2456810.278,0.0662,3468.0,0.37,,169.5971097,-2.9913978
0.212194,0.77,2456812.40015,,3299.0,0.26,5.106,169.5971097,-2.9913978
1.5778643,7.55,2456810.434,0.891,4811.0,0.73,,170.1325248,-2.9026339
1.57771549,,2456818.326995,1.823,5163.0,1.15585,4.25178,170.1325248,-2.9026339
1.57771549,,2456818.327691,0.875,7333.0,2.56752,3.83915,170.133417,-2.8982132
13.0113,2.43,2457589.515,0.065,5347.0,0.880221,4.51267,183.3092954,-2.844186
40.70206194,,2456823.294921,0.536,3759.0,0.572892,4.67427,178.420349,-2.5717754
21.204739,9.11013939,2457600.34291,,5154.0,1.761722,3.91,182.2046312,-2.4646145
2.519334,3.91,2456809.99353,,6283.0,1.45,4.17,171.2359519,-2.0851597
2.5194039,7.65729,2460284.25085,0.1935,6380.0,1.76,,171.2359519,-2.0851597
2.519386,19.6,2456812.51211,0.2036,,2.03,,171.2359519,-2.0851597
2.51881781,,2456820.075966,0.215,6380.0,1.76277,,171.2359519,-2.0851597
2.5194078,7.99,2456812.512,0.181,7119.0,1.72,,171.2359519,-2.0851597
13.383629,2.87289326,2457594.79204,,5216.0,0.815235,4.7,184.0351247,-1.6737612
13.38382,2.7,2457594.7895,0.12,5113.71,0.65973,4.73383,184.0351247,-1.6737612
11.8951,,2457611.3371,,5040.0,0.68,,185.1812113,-1.5883337
40.1401,20.8,2456838.65281,1.896,,0.716,,173.1750869,-1.5587834
7.4433,2.73,2456810.6468,0.116,,0.724,,168.7367646,-1.4622181
2.638,2.91,2457583.3409,0.11,4264.47,,,184.5853275,-1.0989451
27.47083,3.36,2457592.0795,0.15,4947.03,0.749863,4.59659,183.188479,-1.0748315
2.8268121,40.1,2456812.488,14.1,5736.0,0.98,,174.0440867,-0.8407078
0.72091,1.5,2457625.7943,,5633.0,0.94,4.4,184.6021322,-0.5512886
4.44044,1.32,2456812.8841,0.01414,,1.053,,173.6002346,-0.3345702
4.4416421,1.17,2456812.872,0.0143,5547.0,0.9,,173.6002346,-0.3345702
4.441258,1.12422498,2456812.87129,,5450.0,0.833852,4.54,173.6002346,-0.3345702
11.20381,2.18,2456817.4926,0.0354,,1.1,,170.6512345,-0.2798534
8.006875,2.384,2457586.039304,,5403.0,0.846,4.538,185.6973984,-0.1218824
3.3643115,85.6,2456812.224,35.2,6240.0,1.32,,168.187478,0.3478732
2.13174,0.692,2456850.0263,,,,,168.9366786,0.4880606
13.837814,1.96,2456820.957,0.0663,4535.0,0.7,,168.9366786,0.4880606
13.8394,1.29,2456820.9555,0.0487,,0.554,,168.9366786,0.4880606
7.79983,1.37,2456814.2678,0.0561,,0.554,,168.9366786,0.4880606
7.7991586,1.57,2456814.271,0.0423,4535.0,0.7,,168.9366786,0.4880606
3.883,1.06,2456810.85,0.0322,,0.554,,168.9366786,0.4880606
2.3330982,5.48,2456812.482,0.993,3726.0,0.5,,173.5625041,0.7138555
2.33293,3.2,2456810.1516,,3508.0,0.224,5.062,173.5625041,0.7138555
2.333123,2.95,2456812.4806,1.27,,0.224,,173.5625041,0.7138555
20.2073,2.12,2456822.8668,0.0735,,0.7624,,171.2596557,0.7613692
36.7099,,2456819.8056,,5069.12,5.33871,,174.3144865,0.782986
36.762337,3.44,2456819.743,0.177,4932.0,0.75,,174.3144865,0.782986
19.565799,6.412,2457905.977854,,4486.0,0.854,4.652,163.715838,0.848677
6.39916,1.48,2456816.1536,0.0401,,0.7006,,172.804304,0.9586366
6.3991398,1.85,2456816.154,0.0449,5210.0,0.8,,172.804304,0.9586366
2.72273204,,2456814.491832,1.494,8002.0,2.85976,3.81097,171.6509741,1.055162
15.695142,2.028,2457921.463551,,4270.0,0.625,4.719,163.0590829,1.1547858
2.48038,1.44,2456812.5024,0.0116,,1.27,,172.8169888,1.1908377
1.9668579,1.51,2456810.595,0.0322,5063.0,0.77,,169.1468835,1.2284084
1.96712,1.73,2456810.5937,0.0361,,0.826,,169.1468835,1.2284084
,,,,4419.0,0.52,,176.0758509,1.3759629
12.726743,1.91,2456822.0,0.0579,4767.0,0.73,,177.9249905,1.3796544
13.2359,2.09,2456814.5,0.0469,,0.924,,177.2334424,1.4654037
0.18746328,217.0,2456810.308,1.32,46696.0,17.27,,177.1399358,1.483155
8.6382631,8.53,2456811.428,2.43,3720.0,0.5,,176.9920988,1.5102769
8.63829,6.81,2456811.42754,,3960.0,0.438,4.844,176.9920988,1.5102769
8.6381,15.99,2456811.4284,,3987.0,0.5,,176.9920988,1.5102769
8.63795,15.1,2456811.42828,2.738,,0.438,,176.9920988,1.5102769
5.7968861,24.2,2456813.313,9.43,4721.0,0.72,,167.1711994,1.5774487
5.79687,27.81,2456813.3135,,5192.0,0.79,,167.1711994,1.5774487
0.4775252,20.1,2456810.33598,1.5255,,0.522,,174.6740618,1.690222
22.197992,5.34,2456826.004,1.52,3508.0,0.4,,177.7087476,1.6919004
44.394,4.07,2456826.0074,1.517,,0.318,,177.7087476,1.6919004
3.29163,1.17,2456813.4812,0.0394,,0.567,,170.9344032,1.8638671
3.2908998,1.57,2456813.49,0.0406,4671.0,0.72,,170.9344032,1.8638671
0.877214,1.3,2457608.48962,,5820.0,0.93,4.6,183.7203635,1.9681688
0.87724,1.565,2457583.04429,,5679.0,0.98,4.435,183.7203635,1.9681688
0.87703,1.2,2457583.0513,0.025,5711.17,0.990833,4.45381,183.7203635,1.9681688
0.877183,1.40575209,2457583.04538,,5705.0,0.932487,4.48,183.7203635,1.9681688
2.8964139,2.45,2456812.108,0.289,3547.0,0.42,,170.6789065,1.993208
2.89607106,,2456815.00486,0.383,3565.0,0.524138,4.71635,170.6789065,1.993208
2.896528,1.45,2456812.10578,0.3274,,0.242,,170.6789065,1.993208
0.44433632,1.01,2456810.638,0.0134,5208.0,0.8,,170.3118083,2.1443791
0.444372,1.22,2456817.74445,,5540.0,0.82,4.81,170.3118083,2.1443791
3.80464,1.22,2457621.2227,,,,,185.1880932,2.2823788
7.28161,1.78,2456812.6366,,3742.0,0.49,,179.4915118,2.321497
7.28116,1.79,2456812.641,,3726.0,0.541438,4.70134,179.4915118,2.321497
7.28076,2.6,2456812.6405,0.1293,,0.399,,179.4915118,2.321497
7.28138,17.0,2456812.6399,,3784.0,0.399,4.883,179.4915118,2.321497
7.28131,1.9,2456812.64,0.116,3748.0,0.51,,179.4915118,2.321497
4.58328,2.21,2456813.6033,0.152,,0.545,,167.4476762,2.3473081
1.65336,1.51,2456810.8473,0.0686,,0.545,,167.4476762,2.3473081
5.28081,10.9,2456812.3539,,6227.0,3.01,3.676,169.4469645,2.4560803
5.28130579,,2456817.633963,0.074,6161.41,2.66957,3.65337,169.4469645,2.4560803
440.0,16.3,2456829.674,,4600.0,0.85,,173.6964045,2.5270664
30.0,22.8,2456826.985,,3400.0,0.89,,170.1327528,2.58692
,24.9,2456826.98524,3.177,,0.6009,,170.1327528,2.58692
7.655533,2.328,2457910.083781,,5114.0,0.751,4.687,166.0603718,2.6557881
27.770388,25.1,2456821.348,10.6,4598.0,0.71,,177.2343917,2.8075643
27.77045,32.79,2456821.3482,,5086.0,8.15,,177.2343917,2.8075643
0.259669,0.77,2456885.22582,,4340.0,0.69,4.25,172.0443891,2.8267296
0.25967056,0.742,2456810.441,0.0132,3982.0,0.59,,172.0443891,2.8267296
5.54583,0.441,2456814.8943,0.0152,,0.34,,172.0443891,2.8267296
18.4502,2.52,2456816.961,0.085,,0.717,,171.517647,2.8867875
35.621,1.89,2457911.974,0.045,5440.0,0.898,4.512,166.8010058,3.0399357
4.1333,1.2,2456813.1326,0.112,,0.312,,177.1019945,3.0853526
1.9611469,5.93,2456812.176,0.727,4166.0,0.64,,169.21486,3.3638919
1.96133691104,15.86577929,2459526.447465,0.92350385,4427.0,1.06738,4.22028,169.21486,3.3638919
40.7302,7.8,2456811.5691,,5840.0,0.98,4.44,175.2407614,3.6815406
40.7362,7.28,2456811.5455,,5618.0,0.85,,175.2407614,3.6815406
18.10220826,,2456831.496598,0.78,6141.1,2.04778,3.88145,172.3857482,3.7319788
0.60408352,2.26,2456810.836,0.0963,4331.0,0.67,,178.4363057,3.9322038
3.52743,1.11,2456809.9086,,3624.0,0.257,5.014,173.8276491,3.9340165
3.52725,1.21,2456813.4405,0.199,,0.257,,173.8276491,3.9340165
3.52674,1.32,2456809.915,,3413.0,0.350987,4.87298,173.8276491,3.9340165
3.5269024,2.98,2456813.441,0.167,4332.0,0.67,,173.8276491,3.9340165
6340.0,12.8,2456816.314,,4800.0,0.88,,179.1664861,3.9864368
9.321691,17.325,2457914.019989,,5089.0,0.678,4.712,166.2565337,4.1450789
6.662,1.59,2456814.0819,0.0946,,0.483,,168.9116543,4.1931655
2.71578,1.03,2456850.4963,,,,,175.0972238,4.5574311
2.0478,0.90819,2456811.637,,4520.0,0.655,4.659,173.9385102,4.6164303
,35.0,2456835.54205,1.3972,,1.266,,168.0081427,4.9320303
27.27048734,,2456820.230977,3.413,5990.87,2.564,3.66162,168.5427766,4.9881156
27.242808,93.0,2456820.25998,3.7137,,2.54,,168.5427766,4.9881156
27.24273,31.73,2456820.2601,,6166.0,0.92,,168.5427766,4.9881156
27.242912,18.8,2456820.26,3.7,5547.0,0.9,,168.5427766,4.9881156
1.395336,0.76,2456811.5947,0.0665,,0.28,,170.6976906,5.0951726
1.39533316,,2456814.384286,0.054,3433.0,0.424658,4.80422,170.6976906,5.0951726
