,0,disposition
0,0.0,
1,1.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,1.0,
8,0.0,
9,1.0,
10,2.0,
11,0.0,
12,1.0,
13,1.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,1.0,
21,2.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,1.0,
28,0.0,
29,1.0,
30,1.0,
31,1.0,
32,0.0,
33,0.0,
34,2.0,
35,0.0,
36,0.0,
37,1.0,
38,0.0,
39,0.0,
40,1.0,
41,1.0,
42,0.0,
43,0.0,
44,1.0,
45,2.0,
46,0.0,
47,0.0,
48,1.0,
49,0.0,
50,1.0,
51,0.0,
52,0.0,
53,0.0,
54,0.0,
55,2.0,
56,2.0,
57,2.0,
58,0.0,
59,2.0,
60,0.0,
61,2.0,
62,2.0,
63,1.0,
64,1.0,
65,1.0,
66,1.0,
67,2.0,
68,1.0,
69,0.0,
70,2.0,
71,1.0,
72,2.0,
73,2.0,
74,2.0,
75,2.0,
76,2.0,
77,2.0,
78,2.0,
79,2.0,
80,0.0,
81,2.0,
82,0.0,
83,2.0,
84,1.0,
85,2.0,
86,2.0,
87,1.0,
88,2.0,
89,1.0,
90,2.0,
91,1.0,
92,1.0,
93,1.0,
94,1.0,
95,2.0,
96,1.0,
97,1.0,
98,0.0,
99,0.0,
100,0.0,
101,2.0,
102,0.0,
103,1.0,
104,0.0,
105,0.0,
106,1.0,
107,1.0,
108,0.0,
109,2.0,
110,2.0,
111,2.0,
112,2.0,
113,2.0,
114,0.0,
115,0.0,
116,0.0,
117,1.0,
118,0.0,
119,1.0,
120,1.0,
121,2.0,
122,0.0,
123,0.0,
124,2.0,
125,0.0,
126,0.0,
127,0.0,
128,0.0,
129,1.0,
130,1.0,
131,1.0,
132,1.0,
133,0.0,
134,1.0,
135,2.0,
136,0.0,
137,0.0,
138,0.0,
139,1.0,
140,1.0,
141,1.0,
142,0.0,
143,0.0,
144,0.0,
145,0.0,
146,2.0,
147,2.0,
148,2.0,
149,1.0,
150,0.0,
151,0.0,
152,0.0,
153,2.0,
154,2.0,
155,2.0,
156,2.0,
157,2.0,
158,1.0,
159,0.0,
160,1.0,
161,2.0,
162,0.0,
163,0.0,
164,0.0,
165,0.0,
166,2.0,
167,0.0,
168,0.0,
169,0.0,
170,2.0,
171,1.0,
172,2.0,
173,2.0,
174,2.0,
175,0.0,
176,1.0,
177,1.0,
178,0.0,
179,0.0,
180,0.0,
181,0.0,
182,0.0,
183,2.0,
184,0.0,
185,2.0,
186,1.0,
187,1.0,
188,0.0,
189,2.0,
190,0.0,
191,0.0,
192,0.0,
193,1.0,
194,2.0,
195,0.0,
196,0.0,
197,0.0,
198,2.0,
199,2.0,
200,0.0,
201,1.0,
202,0.0,
203,0.0,
204,1.0,
205,2.0,
206,2.0,
207,2.0,
208,0.0,
209,0.0,
210,2.0,
211,0.0,
212,0.0,
213,1.0,
214,0.0,
215,1.0,
216,1.0,
217,1.0,
218,1.0,
219,0.0,
220,1.0,
221,0.0,
222,2.0,
223,0.0,
224,1.0,
225,1.0,
226,2.0,
227,2.0,
228,2.0,
229,0.0,
230,2.0,
231,0.0,
232,2.0,
233,1.0,
234,1.0,
235,0.0,
236,1.0,
237,1.0,
238,1.0,
239,1.0,
240,1.0,
241,1.0,
242,0.0,
243,1.0,
244,1.0,
245,0.0,
246,1.0,
247,1.0,
248,1.0,
249,1.0,
250,1.0,
251,1.0,
252,2.0,
253,1.0,
254,2.0,
255,1.0,
256,0.0,
257,2.0,
258,2.0,
259,1.0,
260,1.0,
261,1.0,
262,2.0,
263,2.0,
264,1.0,
265,2.0,
266,2.0,
267,2.0,
268,1.0,
269,2.0,
270,2.0,
271,2.0,
272,2.0,
273,0.0,
274,2.0,
275,2.0,
276,2.0,
277,2.0,
278,2.0,
279,2.0,
280,2.0,
281,1.0,
282,2.0,
283,1.0,
284,1.0,
285,1.0,
286,2.0,
287,1.0,
288,2.0,
289,2.0,
290,2.0,
291,2.0,
292,2.0,
293,2.0,
294,2.0,
295,2.0,
296,2.0,
297,2.0,
298,1.0,
299,0.0,
300,1.0,
301,1.0,
302,0.0,
303,1.0,
304,2.0,
305,0.0,
306,2.0,
307,1.0,
308,2.0,
309,2.0,
310,2.0,
311,2.0,
312,2.0,
313,1.0,
314,1.0,
315,1.0,
316,1.0,
317,2.0,
318,2.0,
319,2.0,
320,2.0,
321,2.0,
322,2.0,
323,1.0,
324,2.0,
325,0.0,
326,2.0,
327,2.0,
328,2.0,
329,1.0,
330,0.0,
331,0.0,
332,0.0,
333,1.0,
334,2.0,
335,2.0,
336,2.0,
337,1.0,
338,1.0,
339,2.0,
340,2.0,
341,0.0,
342,0.0,
343,1.0,
344,1.0,
345,2.0,
346,0.0,
347,2.0,
348,2.0,
349,1.0,
350,0.0,
351,1.0,
352,2.0,
353,2.0,
354,2.0,
355,0.0,
356,2.0,
357,0.0,
358,2.0,
359,2.0,
360,2.0,
361,1.0,
362,1.0,
363,0.0,
364,0.0,
365,0.0,
366,0.0,
367,1.0,
368,0.0,
369,0.0,
370,1.0,
371,0.0,
372,1.0,
373,0.0,
374,0.0,
375,0.0,
376,0.0,
377,0.0,
378,0.0,
379,1.0,
380,0.0,
381,2.0,
382,1.0,
383,0.0,
384,1.0,
385,0.0,
386,0.0,
387,0.0,
388,0.0,
389,1.0,
390,0.0,
391,0.0,
392,1.0,
393,0.0,
394,0.0,
395,0.0,
396,2.0,
397,0.0,
398,0.0,
399,0.0,
400,2.0,
401,2.0,
402,2.0,
403,2.0,
404,2.0,
405,2.0,
406,0.0,
407,0.0,
408,0.0,
409,0.0,
410,0.0,
411,1.0,
412,2.0,
413,2.0,
414,2.0,
415,2.0,
416,0.0,
417,1.0,
418,2.0,
419,1.0,
420,1.0,
421,1.0,
422,0.0,
423,0.0,
424,1.0,
425,1.0,
426,0.0,
427,0.0,
428,0.0,
429,2.0,
430,0.0,
431,1.0,
432,1.0,
433,0.0,
434,1.0,
435,0.0,
436,0.0,
437,0.0,
438,0.0,
439,0.0,
440,0.0,
441,0.0,
442,1.0,
443,0.0,
444,2.0,
445,0.0,
446,0.0,
447,0.0,
448,0.0,
449,0.0,
450,1.0,
451,1.0,
452,0.0,
453,1.0,
454,0.0,
455,0.0,
456,0.0,
457,0.0,
458,2.0,
459,0.0,
460,2.0,
461,1.0,
462,2.0,
463,0.0,
464,0.0,
465,0.0,
466,0.0,
467,0.0,
468,0.0,
469,0.0,
470,0.0,
471,1.0,
472,0.0,
473,1.0,
474,0.0,
475,0.0,
476,0.0,
477,0.0,
478,1.0,
479,1.0,
480,0.0,
481,2.0,
482,2.0,
483,2.0,
484,2.0,
485,1.0,
486,2.0,
487,2.0,
488,2.0,
489,1.0,
490,1.0,
491,1.0,
492,1.0,
493,2.0,
494,2.0,
495,0.0,
496,2.0,
497,1.0,
498,2.0,
499,1.0,
500,2.0,
501,0.0,
502,1.0,
503,1.0,
504,0.0,
505,0.0,
506,0.0,
507,0.0,
508,2.0,
509,2.0,
510,2.0,
511,1.0,
512,1.0,
513,1.0,
514,1.0,
515,1.0,
516,2.0,
517,2.0,
518,2.0,
519,2.0,
520,2.0,
521,1.0,
522,1.0,
523,1.0,
524,2.0,
525,2.0,
526,2.0,
527,1.0,
528,1.0,
529,1.0,
530,1.0,
531,0.0,
532,2.0,
533,0.0,
534,1.0,
535,1.0,
536,2.0,
537,2.0,
538,2.0,
539,2.0,
540,2.0,
541,1.0,
542,1.0,
543,2.0,
544,1.0,
545,2.0,
546,0.0,
547,0.0,
