,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
0,BD+20 594 b,BD+20 594,2457068.52877,,41.688644,,2.35545351,5703.0,4.38,0.956122,53.6511231,20.5990205,36.5714,-51.3647,0.002801,-0.002798,0.003353,-0.003419,0.30999992,-0.16677291,50.0,-50.0,0.1,-0.1,0.098585,-0.054675,0.0750147,-0.0750147,0.0511293,-0.0511293
1,BD+20 594 b,BD+20 594,2457151.9021,,41.6855,,2.23,5766.0,4.5,0.928,53.6511231,20.5990205,36.5714,-51.3647,0.0042,-0.0047,0.003,-0.0031,0.14,-0.11,99.0,-99.0,0.08,-0.08,0.055,-0.04,0.0750147,-0.0750147,0.0511293,-0.0511293
2,BD+20 594 b,BD+20 594,,,41.6855,49.0,2.57807,5766.0,4.5,1.08,53.6511231,20.5990205,36.5714,-51.3647,,,0.003,-0.003,0.11209,-0.11209,99.0,-99.0,0.08,-0.08,0.06,-0.06,0.0750147,-0.0750147,0.0511293,-0.0511293
3,EPIC 201111557.01,EPIC 201111557,2457583.1688,1.9008,2.30183,2268.0,1.12,4616.52,4.53679,0.762602,183.8462454,-6.2683289,-70.2608,-21.2838,0.0052,-0.0052,0.00028,-0.0003,0.11,-0.08,82.36,-115.56,0.075486,-0.090593,0.053651,-0.037585,0.0986645,-0.0986645,0.0591302,-0.0591302
4,EPIC 201111557.01,EPIC 201111557,2457583.16206,,2.302368,,1.31258765,4720.0,4.5,0.710995,183.8462454,-6.2683289,-70.2608,-21.2838,0.002087,-0.002129,0.000105,-0.000103,0.524177,-0.12081424,50.0,-50.0,0.1,-0.1,0.018609,-0.020398,0.0986645,-0.0986645,0.0591302,-0.0591302
5,EPIC 201126503.01,EPIC 201126503,2456810.382,1.93,1.1947488,448.0,4.19,3919.0,,0.57,175.9385954,-5.8733592,39.3529,-80.3664,,,,,,,,,,,,,0.459132,-0.459132,0.191019,-0.191019
6,EPIC 201127519.01,EPIC 201127519,2457585.55131,,6.178369,,9.91257877,5015.0,4.67,0.789478,181.3718091,-5.8482738,-59.6141,-44.1216,0.001116,-0.001211,0.000195,-0.000172,0.52940607,-0.36218238,50.0,-50.0,0.1,-0.1,0.025322,-0.017327,0.13957,-0.13957,0.136333,-0.136333
7,EPIC 201127519.01,EPIC 201127519,2457585.5473,2.5008,6.17887,1303.0,8.84,4719.28,4.45833,0.849432,181.3718091,-5.8482738,-59.6141,-44.1216,0.0005,-0.0005,7e-05,-7e-05,0.14,-0.13,100.72,-112.19,0.062492,-0.110798,0.053904,-0.052076,0.13957,-0.13957,0.136333,-0.136333
8,EPIC 201147085.01,EPIC 201147085,2456810.7406,1.248,1.17589,68.6,0.86,,,0.309,173.902664,-5.364612,-80.31,30.9,0.0042,-0.004,0.0001,-0.0001,0.18,-0.26,,,,,0.057,-0.07,2.0,-2.0,2.0,-2.0
9,EPIC 201152065.01,EPIC 201152065,2456817.3147,3.24,10.6966,55.7,1.45,,,0.588,173.0432884,-5.2471672,-114.148,9.036511,0.0072,-0.0069,0.002,-0.0021,0.18,-0.36,,,,,0.041,-0.015,0.0630069,-0.0630069,0.0352167,-0.0352167
10,EPIC 201160662.01,EPIC 201160662,2456810.49714,2.3808,1.5374115,1456.3999999999999,45.0,,,1.599,174.9978388,-5.0404536,13.2274,-48.5715,0.00019,-0.00019,6.2e-06,-6.1e-06,12.0,-17.0,,,,,0.047,-0.044,0.109857,-0.109857,0.0528941,-0.0528941
11,EPIC 201164625.01,EPIC 201164625,2457583.1362,3.1008,2.71189,20.0,4.34,6402.0,3.54386,3.16745,181.5936878,-4.9467043,-3.6771,2.70814,0.0112,-0.0179,0.00068,-0.00056,0.43,-0.35,133.53,-125.16,0.107945,-0.081808,0.174094,-0.203167,0.0797506,-0.0797506,0.0551509,-0.0551509
12,EPIC 201166680.01,K2-243,2457598.1933,,18.10549,,2.09985108,6213.0,4.32,1.224685,181.1211419,-4.8991358,-61.8134,18.236,0.020571,-0.015611,0.010083,-0.012897,0.30569846,-0.20056538,50.0,-50.0,0.1,-0.1,0.11631,-0.071545,0.103981,-0.103981,0.0652128,-0.0652128
13,EPIC 201170410.02,EPIC 201170410,2456813.1485,,6.7987,,1.047,3648.0,4.999,0.282,170.1408561,-4.8070039,8.57776,-20.1101,0.0006,-0.0005,0.0001,-0.0001,0.276,-0.257,172.0,-143.0,0.075,-0.075,0.074,-0.069,2.21762,-2.21762,2.21312,-2.21312
14,EPIC 201176672.01,EPIC 201176672,2456877.8046,11.7504,79.9999,,10.2,4542.0,4.747,0.508,169.1498727,-4.6564416,-79.9358,22.9429,0.0015,-0.0015,0.0098,-0.0098,2.1,-2.1,130.0,-130.0,0.097,-0.097,0.098,-0.098,0.11773,-0.11773,0.0789285,-0.0789285
15,EPIC 201176672.02,EPIC 201176672,2456877.8038,14.472,,3060.0,30.0,,,0.707,169.1498727,-4.6564416,-79.9358,22.9429,0.0005,-0.0005,,,8.3,-10.6,,,,,0.05,-0.05,0.11773,-0.11773,0.0789285,-0.0789285
16,EPIC 201180665.01,EPIC 201180665,2457586.4986,2.8992,17.77297,3662.0,26.44,5847.0,4.26659,1.25428,184.1697015,-4.5603949,-26.7254,-10.2786,0.0002,-0.0002,9e-05,-9e-05,0.65,-0.65,82.63,-157.44,0.079353,-0.076592,0.066004,-0.055051,0.0519403,-0.0519403,0.0322748,-0.0322748
17,EPIC 201182911.01,EPIC 201182911,2456811.09,2.26,0.99656225,35500.0,32.8,3727.0,,0.5,172.7104166,-4.5075924,-1.5629,2.86139,,,,,,,,,,,,,0.100641,-0.100641,0.0639658,-0.0639658
